"Tektronix MDO34, version v1.4.26, serial number C017180"
"Bus Definition: SPI"
 Time, MOSI, MISO
2.400000e-09, 03 1F 80 04 00 00 00 00 , 7F FF FF FF F8 7F 86 00  
2.436800e-06, 03 1F 80 00 00 00 00 00 , 00 00 00 00 FA CE 04 01  
1.051840e-05, 03 1F 80 22 00 00 , FF FF FF FF 00 0C  
1.278960e-05, 03 1F 80 26 00 00 , 00 00 00 00 00 28  
1.464480e-05, 03 1F 80 24 00 00 , 00 00 00 00 04 E1  
1.768640e-05, 03 1F A1 C8 00 00 00 00 , 00 00 00 00 01 09 10 28  
2.012000e-05, 03 1F A1 C4 00 00 00 00 , 00 00 00 00 00 BA 3C 7C  
2.255440e-05, 03 1F A1 CC 00 00 00 00 , 00 00 00 00 00 03 00 00  
2.995760e-05, 03 75 80 04 00 00 00 00 , 3F FC FF FF 00 80 00 00  
3.239120e-05, 03 75 80 00 00 00 00 00 , 00 00 00 00 FA CE 04 02  
3.926960e-05, 03 75 BC 7C 00 00 00 00 , 1F 3C 9F FF 00 00 28 D8  
4.844640e-05, 03 75 BC 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 7F FF FF FF 00 05 D0 02 00 00 00 00 AF DC 01 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF  
7.109840e-05, 03 75 BC C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF  
